TRACE,HEADERTIME,TIME_shot_1,TIME_shot_2
1, 13:17:42,915.6,3071
2, 13:17:45,879.9,3725
3, 13:17:48,729.3,4042
4, 13:17:51,1021.0,4715
5, 13:17:54,1686.0,0
6, 13:17:57,2192.0,0
7, 13:18:00,2832.0,0
8, 13:18:03,3881.0,0
9, 13:18:06,871.6,4464
10, 13:18:09,1453.0,4920
11, 13:18:12,1901.0,0
12, 13:18:15,2342.0,0
13, 13:18:18,3385.0,3388
14, 13:18:21,381.6,3883
15, 13:18:24,855.0,4379
16, 13:18:27,1378.0,0
17, 13:18:30,1993.0,0
18, 13:18:33,2691.0,0
19, 13:18:36,3106.0,0
20, 13:18:39,107.5,3269
21, 13:18:42,248.7,3863
22, 13:18:45,838.4,4385
23, 13:18:48,1370.0,4861
24, 13:18:51,1860.0,0
25, 13:18:54,2707.0,0
26, 13:18:57,3230.0,0
27, 13:19:00,232.1,3949
28, 13:19:03,946.3,4247
29, 13:19:06,1220.0,4597
30, 13:19:09,1594.0,0
31, 13:19:12,2367.0,0
32, 13:19:15,3014.0,0
33, 13:19:18,32.72,3566
34, 13:19:21,564.3,4365
35, 13:19:24,1362.0,0
36, 13:19:27,2018.0,0
37, 13:19:30,2649.0,0
38, 13:19:33,3264.0,0
39, 13:19:36,257.0,3645
40, 13:19:39,639.0,4141
41, 13:19:42,1112.0,4418
42, 13:19:45,1403.0,4841
43, 13:19:48,1852.0,0
44, 13:19:51,2292.0,0
45, 13:19:54,2981.0,0
46, 13:19:57,3496.0,0
47, 13:20:00,481.2,3943
48, 13:20:03,921.4,4385
49, 13:20:06,1387.0,4722
50, 13:20:09,1719.0,0
51, 13:37:00,0.0,0
52, 13:37:05,1519.0,0
53, 13:37:10,107.5,0
54, 13:37:15,4360.0,0
55, 13:37:20,3463.0,0
56, 13:37:25,2607.0,0
57, 13:37:30,1561.0,0
58, 13:37:35,688.9,4603
59, 13:37:40,3646.0,0
60, 13:37:45,2674.0,0
61, 13:37:50,2250.0,0
62, 13:37:55,1594.0,0
63, 13:38:00,788.5,0
64, 13:38:05,132.4,4253
65, 13:38:10,3363.0,0
66, 13:38:15,3770.0,0
67, 13:38:20,3538.0,0
68, 13:38:25,2965.0,0
69, 13:38:30,2375.0,0
70, 13:38:35,2151.0,0
71, 13:38:40,1810.0,0
72, 13:38:45,1220.0,0
73, 13:38:50,248.7,4504
74, 13:38:55,3795.0,0
75, 13:39:00,3089.0,0
76, 13:39:05,2475.0,0
77, 13:39:10,2209.0,0
78, 13:39:15,1528.0,0
79, 13:39:20,647.3,4729
80, 13:39:25,3828.0,0
81, 13:39:30,3081.0,0
82, 13:39:35,3131.0,0
83, 13:39:40,2458.0,0
84, 13:39:45,987.9,0
85, 13:39:50,240.4,4141
86, 13:39:55,0.0,0
87, 13:40:00,0.0,0
88, 13:40:05,0.0,0
89, 13:40:10,0.0,0
90, 13:40:15,0.0,0
91, 13:46:00,4152.0,0
92, 13:46:05,4584.0,0
93, 13:46:10,4111.0,0
94, 13:46:15,3870.0,0
95, 13:46:20,3820.0,0
96, 13:46:25,3862.0,0
97, 13:46:30,3347.0,0
98, 13:46:35,2956.0,0
99, 13:46:40,3214.0,0
100, 13:46:45,2882.0,0
101, 13:46:50,2591.0,0
102, 13:46:55,0.0,0
103, 13:47:00,2034.0,0
104, 13:47:05,1154.0,0
105, 13:47:10,431.4,4656
106, 13:47:15,3629.0,0
107, 13:47:20,2541.0,0
108, 13:47:25,2732.0,0
109, 13:47:30,3521.0,0
110, 13:47:35,4111.0,0
